[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cap 351] d0=4087694 pm=1617 slots=879975 (4145s)
[cap 352] d0=4091776 pm=2043 slots=879975 (4155s)
[cap 353] d0=4120834 pm=1733 slots=879975 (4165s)
[cap 354] d0=4106020 pm=1683 slots=879975 (4176s)
[cap 355] d0=4127557 pm=1548 slots=879975 (4186s)
[cap 356] d0=4125685 pm=1852 slots=879975 (4196s)
[cap 357] d0=4112472 pm=3044 slots=879975 (4206s)
[cap 358] d0=4108231 pm=4800 slots=879975 (4216s)
[cap 359] d0=4094249 pm=3028 slots=879975 (4227s)
[cap 360] d0=4115541 pm=2012 slots=879975 (4237s)
[cap 361] d0=4086925 pm=1932 slots=879975 (4247s)
[cap 362] d0=4119817 pm=2598 slots=879975 (4257s)
[cap 363] d0=5602848 pm=2409 slots=336525 (4287s)
[cap 364] d0=4098744 pm=2565 slots=880000 (4336s)
[cap 365] d0=4106411 pm=1960 slots=880000 (4347s)
[cap 366] d0=4115939 pm=1853 slots=880000 (4357s)
[cap 367] d0=4096144 pm=2048 slots=880000 (4367s)
[cap 368] d0=4121610 pm=1839 slots=880000 (4378s)
[cap 369] d0=4095634 pm=2114 slots=880000 (4388s)
