[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [RFNOC::GRAPH] One or more blocks timed out during flush!
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
D[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cap 248] d0=4100761 pm=2117 slots=880000 (3310s)
[cap 249] d0=4105774 pm=2055 slots=880000 (3320s)
[cap 250] d0=4094391 pm=1916 slots=880000 (3330s)
[cap 251] d0=4130462 pm=2206 slots=880000 (3340s)
[cap 252] d0=6771638 pm=2583 slots=160000 (3350s)
[cap 253] d0=4095711 pm=2875 slots=880000 (3399s)
[cap 254] d0=4094861 pm=1778 slots=880000 (3409s)
[cap 255] d0=3612201 pm=2544 slots=288000 (3425s)
[cap 256] d0=2628589 pm=2654 slots=55040 (3432s)
[run twin] 20/300: running acc 100.00 (3432s)
[cap 257] d0=4076622 pm=1939 slots=879975 (3480s)
[cap 258] d0=4125057 pm=1756 slots=879975 (3490s)
[cap 259] d0=4081672 pm=1684 slots=879975 (3500s)
[cap 260] d0=4097176 pm=1497 slots=879975 (3510s)
[cap 261] d0=4069847 pm=1506 slots=879975 (3521s)
[cap 262] d0=4111443 pm=1290 slots=879975 (3531s)
[cap 263] d0=4080093 pm=1447 slots=879975 (3541s)
[cap 264] d0=4093779 pm=1333 slots=879975 (3551s)
[cap 265] d0=4103268 pm=1902 slots=879975 (3562s)
