# energy per real MAC (J/MAC); see METHODS.md
N,e_ip_total,e1_waveform,e2_adc,e3_digital
544.142,6.966532e-15,5.343886e-16,2.756633e-15,3.675511e-15
551.561,6.880014e-15,5.343886e-16,2.719554e-15,3.626072e-15
559.081,6.794660e-15,5.343886e-16,2.682974e-15,3.577298e-15
566.704,6.710454e-15,5.343886e-16,2.646885e-15,3.529180e-15
574.43,6.627381e-15,5.343886e-16,2.611283e-15,3.481710e-15
582.262,6.545425e-15,5.343886e-16,2.576159e-15,3.434878e-15
590.201,6.464572e-15,5.343886e-16,2.541507e-15,3.388676e-15
598.248,6.384806e-15,5.343886e-16,2.507322e-15,3.343096e-15
606.405,6.306113e-15,5.343886e-16,2.473596e-15,3.298128e-15
614.672,6.228479e-15,5.343886e-16,2.440324e-15,3.253766e-15
623.053,6.151888e-15,5.343886e-16,2.407500e-15,3.210000e-15
631.548,6.076328e-15,5.343886e-16,2.375117e-15,3.166823e-15
640.159,6.001784e-15,5.343886e-16,2.343170e-15,3.124226e-15
648.887,5.928243e-15,5.343886e-16,2.311652e-15,3.082203e-15
657.734,5.855692e-15,5.343886e-16,2.280558e-15,3.040745e-15
666.701,5.784116e-15,5.343886e-16,2.249883e-15,2.999844e-15
675.791,5.713502e-15,5.343886e-16,2.219620e-15,2.959494e-15
685.005,5.643839e-15,5.343886e-16,2.189764e-15,2.919686e-15
694.345,5.575113e-15,5.343886e-16,2.160310e-15,2.880414e-15
703.812,5.507311e-15,5.343886e-16,2.131252e-15,2.841670e-15
713.407,5.440421e-15,5.343886e-16,2.102585e-15,2.803447e-15
723.134,5.374430e-15,5.343886e-16,2.074304e-15,2.765738e-15
732.994,5.309328e-15,5.343886e-16,2.046403e-15,2.728537e-15
742.987,5.245101e-15,5.343886e-16,2.018877e-15,2.691836e-15
753.117,5.181738e-15,5.343886e-16,1.991721e-15,2.655628e-15
763.386,5.119227e-15,5.343886e-16,1.964931e-15,2.619908e-15
773.794,5.057557e-15,5.343886e-16,1.938501e-15,2.584668e-15
784.344,4.996717e-15,5.343886e-16,1.912426e-15,2.549902e-15
795.038,4.936695e-15,5.343886e-16,1.886703e-15,2.515604e-15
805.878,4.877480e-15,5.343886e-16,1.861325e-15,2.481767e-15
816.865,4.819062e-15,5.343886e-16,1.836289e-15,2.448385e-15
828.002,4.761430e-15,5.343886e-16,1.811589e-15,2.415452e-15
839.292,4.704572e-15,5.343886e-16,1.787222e-15,2.382962e-15
850.735,4.648480e-15,5.343886e-16,1.763182e-15,2.350909e-15
862.334,4.593142e-15,5.343886e-16,1.739466e-15,2.319288e-15
874.091,4.538548e-15,5.343886e-16,1.716068e-15,2.288091e-15
886.009,4.484689e-15,5.343886e-16,1.692986e-15,2.257314e-15
898.089,4.431554e-15,5.343886e-16,1.670214e-15,2.226952e-15
910.333,4.379134e-15,5.343886e-16,1.647748e-15,2.196997e-15
922.745,4.327419e-15,5.343886e-16,1.625584e-15,2.167446e-15
935.326,4.276400e-15,5.343886e-16,1.603719e-15,2.138292e-15
948.078,4.226066e-15,5.343886e-16,1.582148e-15,2.109530e-15
961.005,4.176410e-15,5.343886e-16,1.560866e-15,2.081155e-15
974.107,4.127422e-15,5.343886e-16,1.539871e-15,2.053162e-15
987.388,4.079093e-15,5.343886e-16,1.519159e-15,2.025545e-15
1000.85,4.031413e-15,5.343886e-16,1.498725e-15,1.998300e-15
1014.5,3.984376e-15,5.343886e-16,1.478566e-15,1.971421e-15
1028.33,3.937970e-15,5.343886e-16,1.458678e-15,1.944904e-15
1042.35,3.892189e-15,5.343886e-16,1.439057e-15,1.918743e-15
1056.56,3.847024e-15,5.343886e-16,1.419701e-15,1.892935e-15
1070.97,3.802466e-15,5.343886e-16,1.400605e-15,1.867473e-15
1085.57,3.758508e-15,5.343886e-16,1.381765e-15,1.842354e-15
1100.37,3.715141e-15,5.343886e-16,1.363180e-15,1.817573e-15
1115.37,3.672357e-15,5.343886e-16,1.344844e-15,1.793125e-15
1130.58,3.630149e-15,5.343886e-16,1.326754e-15,1.769006e-15
1145.99,3.588508e-15,5.343886e-16,1.308908e-15,1.745211e-15
1161.62,3.547428e-15,5.343886e-16,1.291303e-15,1.721737e-15
1177.46,3.506900e-15,5.343886e-16,1.273933e-15,1.698578e-15
1193.51,3.466917e-15,5.343886e-16,1.256798e-15,1.675731e-15
1209.78,3.427472e-15,5.343886e-16,1.239893e-15,1.653191e-15
1226.28,3.388558e-15,5.343886e-16,1.223215e-15,1.630954e-15
1243,3.350167e-15,5.343886e-16,1.206762e-15,1.609016e-15
1259.94,3.312292e-15,5.343886e-16,1.190530e-15,1.587374e-15
1277.12,3.274927e-15,5.343886e-16,1.174517e-15,1.566022e-15
1294.53,3.238065e-15,5.343886e-16,1.158718e-15,1.544958e-15
1312.18,3.201698e-15,5.343886e-16,1.143133e-15,1.524177e-15
1330.07,3.165820e-15,5.343886e-16,1.127756e-15,1.503675e-15
1348.21,3.130425e-15,5.343886e-16,1.112587e-15,1.483450e-15
1366.59,3.095507e-15,5.343886e-16,1.097622e-15,1.463496e-15
1385.22,3.061057e-15,5.343886e-16,1.082858e-15,1.443811e-15
1404.11,3.027072e-15,5.343886e-16,1.068293e-15,1.424390e-15
1423.25,2.993543e-15,5.343886e-16,1.053923e-15,1.405231e-15
1442.66,2.960465e-15,5.343886e-16,1.039747e-15,1.386330e-15
1462.33,2.927833e-15,5.343886e-16,1.025762e-15,1.367682e-15
1482.27,2.895639e-15,5.343886e-16,1.011964e-15,1.349286e-15
1502.48,2.863878e-15,5.343886e-16,9.983526e-16,1.331137e-15
1522.96,2.832544e-15,5.343886e-16,9.849239e-16,1.313232e-15
1543.72,2.801632e-15,5.343886e-16,9.716758e-16,1.295568e-15
1564.77,2.771136e-15,5.343886e-16,9.586060e-16,1.278141e-15
1586.11,2.741050e-15,5.343886e-16,9.457119e-16,1.260949e-15
1607.73,2.711368e-15,5.343886e-16,9.329913e-16,1.243988e-15
1629.65,2.682086e-15,5.343886e-16,9.204418e-16,1.227256e-15
1651.87,2.653198e-15,5.343886e-16,9.080611e-16,1.210748e-15
1674.39,2.624698e-15,5.343886e-16,8.958469e-16,1.194463e-15
1697.22,2.596582e-15,5.343886e-16,8.837970e-16,1.178396e-15
1720.36,2.568843e-15,5.343886e-16,8.719092e-16,1.162546e-15
1743.82,2.541478e-15,5.343886e-16,8.601813e-16,1.146908e-15
1767.59,2.514481e-15,5.343886e-16,8.486111e-16,1.131482e-15
1791.69,2.487847e-15,5.343886e-16,8.371966e-16,1.116262e-15
1816.12,2.461572e-15,5.343886e-16,8.259356e-16,1.101247e-15
